brand,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,spare_key,model_simple,car_age
Hyundai,Manual,2015,Petrol,7.088408778675395,63079.0,3rd owner,12.634606283893019,8.700014623251842,No,Grand,10
Maruti,Manual,2022,Petrol,7.288244401020124,15983.0,1st owner,13.655342979519684,9.693877015504503,No,S,3
Maruti,Manual,2020,Petrol,7.088408778675395,55790.0,1st owner,13.347107247525049,9.412464556066316,Yes,Baleno,5
KIA,Manual,2021,Petrol,7.311886164077165,38307.0,1st owner,13.871891836579518,9.910413512606862,No,SELTOS,4
Nissan,Automatic,2022,Petrol,6.907755278982137,18193.0,2nd owner,13.636385088238372,9.674828820533808,No,MAGNITE,3
Hyundai,Manual,2019,Petrol,6.906754778648554,57649.0,2nd owner,13.499430382731967,9.564722689855031,No,VENUE,6
Honda,Automatic,2023,Petrol,7.090076835776092,8376.0,1st owner,13.61217085943569,9.650528916142733,No,Amaze,2
Renault,Manual,2022,Petrol,6.907755278982137,13196.0,1st owner,13.444448325847754,9.509036565691064,No,TRIBER,3
Maruti,Manual,2012,Petrol,7.2254814727822945,54751.0,1st owner,12.91657092142417,9.512147218473359,No,Ertiga,13
Datsun,Manual,2019,Petrol,7.089243155027514,27695.0,1st owner,12.899222326086994,8.965334573804839,No,Go,6
Honda,Manual,2017,Petrol,7.311886164077165,102835.0,1st owner,13.317931805683793,9.512369038134885,Yes,City,8
Honda,Manual,2019,Petrol,7.090076835776092,37864.0,1st owner,13.204866440535003,9.270211769013573,No,Amaze,6
Honda,Automatic,2017,Petrol,7.311886164077165,42012.0,1st owner,13.609716873485151,9.648272670221848,Yes,City,8
Hyundai,Manual,2013,Petrol,7.088408778675395,31479.0,1st owner,12.663500657121004,9.025214887849494,No,i20,12
KIA,Manual,2021,Petrol,7.311886164077165,26456.0,1st owner,14.015181572093326,10.05371626578282,No,SELTOS,4
Toyota,Manual,2021,Petrol,7.288244401020124,42381.0,1st owner,13.667011709737965,9.705524299752216,Yes,URBAN,4
Renault,Automatic,2019,Petrol,6.907755278982137,13568.0,1st owner,12.863595239117187,8.928110078202646,Yes,Kwid,6
Maruti,Automatic,2022,Petrol,7.288244401020124,21566.0,1st owner,13.78916760931819,9.827685839119846,No,Ciaz,3
KIA,Manual,2019,Petrol,7.311886164077165,85336.0,1st owner,13.847010194015423,9.885679933886163,Yes,SELTOS,6
Maruti,Manual,2015,Petrol,7.088408778675395,35817.0,1st owner,12.840003118946523,8.906528917594517,Yes,Swift,10
Hyundai,Manual,2019,Diesel,7.367077059881012,72781.0,1st owner,13.923468597135031,10.095222992690658,No,Creta,6
Jeep,Manual,2020,Petrol,7.221835825288449,76041.0,1st owner,13.878486296092358,9.916897239446046,Yes,Compass,5
Maruti,Manual,2016,Petrol,7.2254814727822945,60440.0,1st owner,13.077368103521614,9.142703723260372,No,Ciaz,9
Mahindra,Manual,2019,Diesel,7.513709247839705,45984.0,1st owner,13.826451487121803,9.997797232006869,No,XUV500,6
Jeep,Manual,2018,Diesel,7.513709247839705,53738.0,2nd owner,13.782988399316032,10.127710521069902,Yes,Compass,7
Maruti,Manual,2021,Petrol,6.705639094860003,8945.0,1st owner,12.804911893867851,8.87024156729927,No,Alto,4
KIA,Manual,2020,Diesel,7.309212365692763,68421.0,1st owner,13.606024566142413,9.644716823578767,Yes,SONET,5
Tata,Manual,2021,Petrol,7.090076835776092,8119.0,1st owner,13.662360543970586,9.700881652439467,Yes,NEXON,4
MG,Automatic,2019,Petrol,7.280697195384741,8797.0,1st owner,14.106687267054188,10.14533508864411,No,HECTOR,6
Maruti,Manual,2017,Petrol,7.088408778675395,32348.0,1st owner,13.073175234051686,9.13852208418571,No,Baleno,8
Honda,Manual,2017,Petrol,7.311886164077165,115810.0,1st owner,13.275944180597024,9.47039427731049,No,City,8
Mahindra,Manual,2020,Petrol,7.088408778675395,40924.0,1st owner,13.431319053559353,9.496646498248033,No,XUV300,5
Maruti,Manual,2016,Petrol,7.088408778675395,33099.0,1st owner,13.06685278163674,9.13216259091216,No,Baleno,9
MG,Automatic,2020,Petrol,7.280697195384741,66590.0,1st owner,14.053740534718278,10.092246676988507,No,HECTOR,5
Hyundai,Manual,2020,Petrol,7.311886164077165,80554.0,2nd owner,13.782988399316032,9.821517989668877,Yes,Creta,5
KIA,Automatic,2019,Diesel,7.309212365692763,51955.0,1st owner,14.051373671575362,10.146918907547057,No,SELTOS,6
Hyundai,Automatic,2016,Petrol,7.3727463664043285,61059.0,3rd owner,13.480039220276565,9.545955098183267,Yes,Creta,9
Tata,Manual,2023,Petrol,7.090076835776092,24415.0,1st owner,13.784020922864116,9.822548610030776,Yes,NEXON,2
Maruti,Manual,2018,Petrol,7.088408778675395,65268.0,1st owner,13.140205260167273,9.206332350578643,No,Dzire,7
Maruti,Manual,2012,Petrol,7.088408778675395,34096.0,1st owner,12.45293662970407,9.048291920021784,No,Swift,13
Maruti,Manual,2022,Petrol,7.088408778675395,35230.0,1st owner,13.347107247525049,9.412382853382338,No,Swift,3
Toyota,Automatic,2019,Petrol,7.088408778675395,55311.0,2nd owner,13.340696979437066,9.405989388981,No,Glanza,6
Hyundai,Manual,2020,Petrol,7.311886164077165,61464.0,1st owner,13.974223102361051,10.01274546347265,No,Creta,5
KIA,Manual,2019,Petrol,7.311886164077165,32251.0,1st owner,13.935070680332966,9.973573160102816,Yes,SELTOS,6
Maruti,Automatic,2022,Petrol,7.088408778675395,27052.0,1st owner,13.613395597831598,9.65194452670022,No,Baleno,3
KIA,Manual,2022,Petrol,6.906754778648554,22078.0,1st owner,13.772604100793789,9.811152941333331,Yes,SONET,3
Jeep,Manual,2019,Diesel,7.513709247839705,93467.0,1st owner,13.742940940397677,9.914823062199874,No,Compass,6
Maruti,Manual,2018,Petrol,7.088408778675395,21574.0,1st owner,13.353476685668044,9.41897923708751,No,Swift,7
Maruti,Manual,2016,Petrol,6.705639094860003,97698.0,2nd owner,12.301387370778713,8.366137716496281,Yes,Alto,9
Mahindra,Automatic,2021,Petrol,7.513709247839705,31332.0,1st owner,14.091626752769644,10.130144923150134,No,Thar,4
Mahindra,Automatic,2021,Petrol,7.513709247839705,25411.0,1st owner,14.126665719201661,10.146918907547057,Yes,Thar,4
Hyundai,Automatic,2019,Petrol,7.3727463664043285,69534.0,1st owner,13.85952840031839,9.898072919834629,Yes,Creta,6
Hyundai,Manual,2014,Petrol,7.088408778675395,87564.0,1st owner,13.001327306361068,9.195734219586821,No,Elite,11
Honda,Manual,2020,Petrol,7.088408778675395,35169.0,1st owner,13.73538559690802,9.773891264365055,No,City,5
Hyundai,Manual,2021,CNG,7.088408778675395,19115.0,1st owner,13.321215875492413,9.387146748082028,No,GRAND,4
Maruti,Automatic,2022,Petrol,7.088408778675395,6753.0,1st owner,14.073249526840211,10.112004656988175,No,XL6,3
Maruti,Manual,2019,Petrol,7.088408778675395,59602.0,2nd owner,13.241036683319184,9.306195857619704,Yes,Baleno,6
KIA,Manual,2019,Petrol,7.311886164077165,64349.0,1st owner,13.867154740783278,9.906134047477034,Yes,SELTOS,6
Maruti,Manual,2022,Petrol,7.288244401020124,35483.0,1st owner,13.676249640055394,9.714805812589491,No,Ciaz,3
Hyundai,Manual,2018,CNG,7.088408778675395,87009.0,2nd owner,13.047641986378483,9.112948025967533,No,Grand,7
Datsun,Manual,2021,Petrol,6.705639094860003,36150.0,1st owner,12.657151449598695,8.722091302389098,No,Redi,4
Honda,Manual,2018,CNG,7.088408778675395,76942.0,1st owner,13.146081857144738,9.211639527707803,Yes,Amaze,7
Maruti,Automatic,2021,Petrol,7.288244401020124,29125.0,2nd owner,13.627976640389322,9.666498594399865,No,Vitara,4
Honda,Manual,2012,Petrol,7.311886164077165,77380.0,2nd owner,12.587931300962664,9.181838011503471,Yes,City,13
Tata,Automatic,2017,Petrol,7.090076835776092,102235.0,1st owner,12.832013750189885,9.026056891868688,No,Tiago,8
Hyundai,Manual,2020,Petrol,7.311886164077165,14693.0,1st owner,13.932405199115093,9.970819044696412,No,Creta,5
Renault,Manual,2021,Petrol,7.193685818395112,50108.0,1st owner,13.74186509422166,9.780924360113003,No,Duster,4
Hyundai,Manual,2019,Petrol,7.3727463664043285,17333.0,1st owner,13.694473358254752,9.732995747495751,Yes,Creta,6
Hyundai,Manual,2015,Petrol,7.3727463664043285,102963.0,3rd owner,13.251637470576167,9.44549154241467,No,Creta,10
Ford,Manual,2020,Diesel,7.312553498102598,71807.0,2nd owner,13.428377879293798,9.494014423030425,No,Ecosport,5
Tata,Manual,2020,Petrol,7.090076835776092,53413.0,1st owner,13.132315688453556,9.198470199405696,No,Tiago,5
Maruti,Manual,2015,Petrol,7.088408778675395,71287.0,2nd owner,12.73080413304066,8.796943893541737,No,Swift,10
Renault,Manual,2013,Petrol,7.377133712833954,77978.0,3rd owner,12.657151449598695,9.021839764105513,No,Duster,12
Mahindra,Manual,2019,Diesel,7.513709247839705,56200.0,1st owner,13.76316513133229,9.934501606065297,No,XUV500,6
Maruti,Manual,2021,Petrol,7.088408778675395,11344.0,1st owner,13.260386417460465,9.326433090963036,Yes,Baleno,4
Maruti,Automatic,2020,Petrol,7.088408778675395,15673.0,1st owner,13.522482219667573,9.588434283288215,No,Baleno,5
Renault,Automatic,2020,Petrol,6.907755278982137,45704.0,2nd owner,12.90669432231532,8.972083182851925,No,Kwid,5
Hyundai,Manual,2016,CNG,7.3727463664043285,84938.0,2nd owner,13.431319053559353,9.625689802158323,Yes,Creta,9
Hyundai,Automatic,2020,Petrol,6.906754778648554,42349.0,2nd owner,13.870946210925721,9.909419921189237,Yes,Verna,5
Datsun,Manual,2018,Petrol,6.705639094860003,30684.0,1st owner,12.35017731849889,8.415824697027949,No,Redi,7
Maruti,Automatic,2021,Petrol,7.288244401020124,57060.0,1st owner,13.60231857512623,9.64088826045181,No,Vitara,4
Volkswagen,Manual,2018,Petrol,6.907755278982137,96717.0,2nd owner,13.098072734013513,9.162514742493578,No,Polo,7
